id,name
http://example.org/Restaurant#1, Applebee's ( Zona Rio) 
http://example.org/Restaurant#2, Big Boy (Agua caliente)  
http://example.org/Restaurant#3, Burger King (Otay) 
http://example.org/Restaurant#4, Café de la Flor  
http://example.org/Restaurant#5, Carls Jr (Otay) 
http://example.org/Restaurant#6, Carnitas Uruapan (La mesa) 
http://example.org/Restaurant#7, Casa Plascencia  
http://example.org/Restaurant#8, Cheripan (Zona Rio)  
http://example.org/Restaurant#9, Cosco (Fuente de sodas) Zona Rio 
http://example.org/Restaurant#10, Daruma (Calz Tecnologico) 
http://example.org/Restaurant#11, Dominos Pizza (Calz Tecnologico)  
http://example.org/Restaurant#12, El Mazateño (Calz Tecnológico) 
http://example.org/Restaurant#13, El porton (Blv Insurgentes) 
http://example.org/Restaurant#14, El Rodeo (La mesa)  
http://example.org/Restaurant#15, Fonda Argentina  
http://example.org/Restaurant#16, Giuseppis ( Plaza Mundo Divertido) 
http://example.org/Restaurant#17, Kentucky Fried Chicken (Calle na) 
http://example.org/Restaurant#18, La Casa del Mole ( Zona Rio) 
http://example.org/Restaurant#19, La Leña  
http://example.org/Restaurant#20, La Querencia  
http://example.org/Restaurant#21, La Torta Plaza (Zona Rio)  
http://example.org/Restaurant#22, La Espadaña  
http://example.org/Restaurant#23, Landini Ristorante Toscano  
http://example.org/Restaurant#24, Los Arcos (Mariscos) Blvd Salinas 
http://example.org/Restaurant#25, Mc Donals (Zona Rio) 
http://example.org/Restaurant#26, Pampas Do Brasil  
http://example.org/Restaurant#27, Pancake House (Otay) 
http://example.org/Restaurant#28, Peter Piper Pizza ( Otay) 
http://example.org/Restaurant#29, Restaurante Californias (Plaza Rio)  
http://example.org/Restaurant#30, Ricardo’s (Zona Centro) 
http://example.org/Restaurant#31, Cien Años  
http://example.org/Restaurant#32, Sanborns (Zona Rio)  
http://example.org/Restaurant#33, Sirloin Stockade  
http://example.org/Restaurant#34, Subway (Otay) 
http://example.org/Restaurant#35, Súper Antojitos (Zona Rio) 
http://example.org/Restaurant#36, Tortas Chapultepec (Zona Centro)  
http://example.org/Restaurant#37, Tortas La Vuelta  
http://example.org/Restaurant#38, Tortas Wash Movile (CalzTecnológico) 
http://example.org/Restaurant#39, Villa Saverios  
http://example.org/Restaurant#40, VIPS (Zona Rio)
